CAR_ID,DefectID,SupplierID,OpenDate,DueDate,CloseDate,Status,OwnerID,ActionDescription,VerificationStatus
CAR000001,DFT000003,SUP065,2025-07-20,2025-09-18,2025-07-26,Closed,EMP0188,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000002,DFT000007,SUP095,2024-12-18,2025-02-16,2025-01-01,Closed,EMP0112,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000003,DFT000011,SUP068,2025-12-14,2025-12-28,,In Progress,EMP0186,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000004,DFT000012,SUP056,2024-11-07,2024-12-22,2024-12-07,Closed,EMP0162,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000005,DFT000014,SUP082,2026-06-06,2026-06-20,,In Progress,EMP0110,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000006,DFT000016,SUP018,2025-10-21,2025-11-04,2025-11-01,Closed,EMP0186,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000007,DFT000018,SUP004,2024-10-08,2024-11-07,,Overdue,EMP0009,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000008,DFT000019,SUP013,2025-12-26,2026-02-24,2026-02-12,Closed,EMP0022,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000009,DFT000020,SUP097,2024-11-08,2024-11-22,2024-11-18,Closed,EMP0156,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000010,DFT000026,SUP009,2025-01-15,2025-02-14,2025-01-28,Closed,EMP0054,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000011,DFT000037,SUP092,2026-06-21,2026-08-05,,In Progress,EMP0197,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000012,DFT000044,SUP067,2026-02-13,2026-04-14,,In Progress,EMP0194,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000013,DFT000049,SUP024,2025-09-05,2025-10-20,,Overdue,EMP0081,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000014,DFT000052,SUP080,2025-04-25,2025-05-09,2025-05-07,Closed,EMP0100,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000015,DFT000054,SUP039,2025-05-11,2025-07-10,,Open,EMP0160,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000016,DFT000057,SUP017,2025-08-08,2025-09-07,,Overdue,EMP0066,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000017,DFT000061,SUP071,2024-08-24,2024-10-08,,Open,EMP0180,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000018,DFT000067,SUP063,2026-04-16,2026-05-16,,Open,EMP0027,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000019,DFT000078,SUP086,2024-08-01,2024-09-30,,Open,EMP0178,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000020,DFT000085,SUP041,2025-05-12,2025-05-26,2025-05-22,Closed,EMP0193,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000021,DFT000086,SUP008,2026-08-04,2026-09-03,2026-08-26,Closed,EMP0180,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000022,DFT000089,SUP016,2026-01-09,2026-01-23,,In Progress,EMP0169,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000023,DFT000093,SUP089,2025-10-30,2025-12-29,2025-12-12,Closed,EMP0160,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000024,DFT000096,SUP062,2025-07-12,2025-08-11,2025-07-18,Closed,EMP0146,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000025,DFT000098,SUP049,2026-02-16,2026-03-02,2026-02-23,Closed,EMP0028,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000026,DFT000101,SUP004,2026-05-01,2026-06-30,2026-05-28,Closed,EMP0126,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000027,DFT000104,SUP054,2025-06-04,2025-06-18,,Open,EMP0102,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000028,DFT000118,SUP099,2025-02-06,2025-02-20,,Open,EMP0180,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000029,DFT000121,SUP080,2025-10-29,2025-12-13,2025-12-10,Closed,EMP0169,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000030,DFT000125,SUP047,2025-07-02,2025-08-01,,Open,EMP0157,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000031,DFT000128,SUP011,2024-11-20,2025-01-04,,In Progress,EMP0072,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000032,DFT000133,SUP039,2024-10-17,2024-12-16,,In Progress,EMP0020,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000033,DFT000139,SUP025,2025-07-31,2025-08-30,2025-08-09,Closed,EMP0159,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000034,DFT000141,SUP081,2026-01-01,2026-03-02,2026-01-23,Closed,EMP0102,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000035,DFT000142,SUP032,2025-06-05,2025-07-05,2025-06-27,Closed,EMP0090,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000036,DFT000153,SUP016,2024-09-18,2024-10-18,,Open,EMP0017,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000037,DFT000158,SUP080,2025-02-24,2025-03-26,,In Progress,EMP0100,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000038,DFT000162,SUP001,2024-12-15,2025-01-29,,Open,EMP0046,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000039,DFT000165,SUP059,2026-01-20,2026-02-03,2026-01-26,Closed,EMP0115,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000040,DFT000173,SUP099,2024-09-25,2024-10-09,2024-10-01,Closed,EMP0060,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000041,DFT000179,SUP029,2026-04-01,2026-05-01,,Open,EMP0072,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000042,DFT000180,SUP074,2026-03-27,2026-04-10,2026-04-06,Closed,EMP0195,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000043,DFT000181,SUP074,2026-03-27,2026-05-11,2026-04-24,Closed,EMP0082,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000044,DFT000185,SUP100,2025-10-13,2025-12-12,2025-12-04,Closed,EMP0160,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000045,DFT000188,SUP045,2025-01-26,2025-03-12,2025-03-08,Closed,EMP0163,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000046,DFT000192,SUP099,2026-04-15,2026-04-29,2026-04-21,Closed,EMP0042,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000047,DFT000200,SUP066,2025-06-28,2025-07-28,,In Progress,EMP0051,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000048,DFT000208,SUP009,2026-04-23,2026-06-22,,In Progress,EMP0102,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000049,DFT000211,SUP027,2025-09-03,2025-11-02,,Open,EMP0127,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000050,DFT000215,SUP077,2025-07-14,2025-08-13,2025-07-21,Closed,EMP0045,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000051,DFT000216,SUP006,2025-12-17,2025-12-31,,Open,EMP0057,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000052,DFT000217,SUP076,2025-09-09,2025-10-09,2025-09-14,Closed,EMP0157,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000053,DFT000219,SUP023,2025-07-08,2025-08-07,2025-07-31,Closed,EMP0068,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000054,DFT000235,SUP031,2024-10-13,2024-10-27,2024-10-26,Closed,EMP0061,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000055,DFT000238,SUP099,2025-01-22,2025-02-21,,Open,EMP0159,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000056,DFT000251,SUP008,2026-02-07,2026-04-08,,Overdue,EMP0017,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000057,DFT000252,SUP084,2025-07-15,2025-08-14,,Overdue,EMP0195,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000058,DFT000254,SUP059,2026-01-20,2026-02-19,2026-02-10,Closed,EMP0107,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000059,DFT000258,SUP044,2024-09-13,2024-09-27,,Open,EMP0123,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000060,DFT000263,SUP086,2024-07-27,2024-09-25,2024-09-17,Closed,EMP0117,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000061,DFT000264,SUP043,2024-11-07,2024-12-22,,Open,EMP0067,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000062,DFT000269,SUP008,2024-08-13,2024-08-27,,Open,EMP0136,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000063,DFT000274,SUP092,2026-03-04,2026-04-18,2026-03-13,Closed,EMP0188,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000064,DFT000275,SUP030,2026-04-10,2026-06-09,2026-05-01,Closed,EMP0180,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000065,DFT000295,SUP010,2025-09-10,2025-09-24,2025-09-20,Closed,EMP0045,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000066,DFT000298,SUP061,2025-04-16,2025-05-31,,Open,EMP0098,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000067,DFT000306,SUP001,2026-06-23,2026-08-07,2026-07-02,Closed,EMP0136,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000068,DFT000311,SUP001,2025-11-01,2025-11-15,,Overdue,EMP0134,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000069,DFT000314,SUP081,2024-09-16,2024-11-15,,In Progress,EMP0085,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000070,DFT000317,SUP004,2024-09-14,2024-10-29,2024-10-29,Closed,EMP0195,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000071,DFT000319,SUP032,2025-08-23,2025-10-22,,In Progress,EMP0103,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000072,DFT000327,SUP055,2024-08-02,2024-09-01,2024-08-17,Closed,EMP0127,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000073,DFT000328,SUP041,2026-02-12,2026-04-13,,In Progress,EMP0130,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000074,DFT000347,SUP037,2025-07-20,2025-09-18,2025-09-14,Closed,EMP0028,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000075,DFT000348,SUP050,2024-11-17,2024-12-01,2024-11-24,Closed,EMP0162,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000076,DFT000351,SUP082,2026-08-03,2026-10-02,,In Progress,EMP0078,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000077,DFT000352,SUP082,2026-08-03,2026-10-02,2026-08-20,Closed,EMP0146,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000078,DFT000359,SUP003,2026-05-17,2026-07-01,2026-05-26,Closed,EMP0163,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000079,DFT000360,SUP009,2024-10-11,2024-10-25,2024-10-16,Closed,EMP0169,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000080,DFT000361,SUP022,2025-04-03,2025-05-18,,In Progress,EMP0160,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000081,DFT000374,SUP079,2024-08-29,2024-10-13,2024-09-14,Closed,EMP0007,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000082,DFT000377,SUP044,2024-12-14,2025-02-12,,Open,EMP0163,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000083,DFT000383,SUP070,2025-06-20,2025-07-04,,Open,EMP0174,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000084,DFT000385,SUP001,2025-06-06,2025-07-21,2025-06-29,Closed,EMP0082,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000085,DFT000388,SUP065,2026-03-05,2026-05-04,2026-04-08,Closed,EMP0058,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000086,DFT000393,SUP062,2025-04-02,2025-05-17,2025-05-08,Closed,EMP0184,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000087,DFT000395,SUP058,2024-08-04,2024-08-18,2024-08-16,Closed,EMP0090,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000088,DFT000408,SUP077,2025-09-16,2025-10-31,,Overdue,EMP0089,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000089,DFT000424,SUP065,2025-06-28,2025-07-12,,In Progress,EMP0060,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000090,DFT000429,SUP085,2026-05-14,2026-07-13,2026-06-11,Closed,EMP0055,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000091,DFT000437,SUP011,2025-02-21,2025-03-23,,In Progress,EMP0154,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000092,DFT000439,SUP054,2026-06-26,2026-07-26,,In Progress,EMP0029,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000093,DFT000440,SUP098,2025-06-05,2025-08-04,2025-07-30,Closed,EMP0127,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000094,DFT000441,SUP085,2025-02-13,2025-04-14,,In Progress,EMP0044,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000095,DFT000442,SUP024,2025-04-19,2025-05-03,,In Progress,EMP0154,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000096,DFT000457,SUP071,2025-02-21,2025-04-22,2025-04-14,Closed,EMP0165,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000097,DFT000464,SUP077,2025-08-01,2025-09-30,,In Progress,EMP0092,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000098,DFT000469,SUP056,2025-10-22,2025-11-21,2025-11-01,Closed,EMP0006,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000099,DFT000480,SUP033,2025-02-05,2025-04-06,,In Progress,EMP0098,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000100,DFT000485,SUP020,2025-11-14,2026-01-13,,In Progress,EMP0160,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000101,DFT000494,SUP084,2026-03-20,2026-05-04,,In Progress,EMP0130,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000102,DFT000502,SUP031,2025-02-15,2025-03-17,,In Progress,EMP0061,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000103,DFT000504,SUP088,2024-10-05,2024-10-19,,Open,EMP0172,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000104,DFT000507,SUP009,2024-07-31,2024-09-29,,Open,EMP0174,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000105,DFT000514,SUP059,2026-02-14,2026-03-16,2026-02-24,Closed,EMP0007,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000106,DFT000523,SUP034,2026-06-08,2026-07-08,2026-06-30,Closed,EMP0029,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000107,DFT000527,SUP039,2026-03-04,2026-03-18,,Open,EMP0111,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000108,DFT000531,SUP064,2026-05-06,2026-05-20,2026-05-14,Closed,EMP0199,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000109,DFT000533,SUP002,2025-10-19,2025-12-18,2025-10-27,Closed,EMP0159,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000110,DFT000534,SUP036,2025-03-30,2025-04-13,2025-04-09,Closed,EMP0017,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000111,DFT000540,SUP080,2026-02-01,2026-03-18,,Open,EMP0172,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000112,DFT000549,SUP034,2025-03-26,2025-05-10,,Open,EMP0029,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000113,DFT000561,SUP014,2025-07-17,2025-08-31,2025-08-09,Closed,EMP0060,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000114,DFT000566,SUP083,2024-09-24,2024-10-24,,Open,EMP0136,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000115,DFT000567,SUP064,2025-12-19,2026-02-17,2026-01-07,Closed,EMP0061,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
